Mã tài sản,Tên tài sản,Ngày vào sổ,Ngày sử dụng,Đơn vị sử dụng,Số lượng TS con,Số lượng Phụ lục ts,Ghi chú,Tài khoản tài sản,Dự án,Mô hình tài sản,Nguyên giá tài sản,Giá trị Khấu hao ban đầu,Kỳ khấu hao ban đầu,GTCL ban đầu,Giá trị Khấu hao phát sinh,Kỳ khấu hao phát sinh,Giá trị khấu hao còn lại,Kỳ khấu hao còn lại
B.2.B500.1.0006,B.2.B500.1.0006 - Băng tải DTS-50/10/15,2010-12-30,2010-12-30,Phòng CV,"0,00","1,00",,2113,016 - Dự án Đầu tư duy trì sản xuất năm 2010 Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","904.820.295,00","904.820.295,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B500.1.0007,B.2.B500.1.0007 - Băng tải DTS-50/10/15,2010-12-30,2010-12-30,Phòng CV,"0,00","0,00",,2113,016 - Dự án Đầu tư duy trì sản xuất năm 2010 Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","904.820.295,00","904.820.295,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B500.1.0008,B.2.B500.1.0008 - Băng tải DTS-50/10/15,2010-12-30,2010-12-30,Phòng CV,"0,00","0,00",,2113,016 - Dự án Đầu tư duy trì sản xuất năm 2010 Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","904.820.295,00","904.820.295,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B500.1.0009,B.2.B500.1.0009 - Băng tải DTS-50/10/15,2010-12-30,2010-12-30,Phòng CV,"0,00","0,00",,2113,"015 - DA đầu tư Nâng công suất lên 600.000 tấn/năm T.khê II,III - Công ty Than Hồng thái","2113-Phương tiện vận tải, truyền dẫn","904.820.295,00","904.820.295,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B500.1.0010,B.2.B500.1.0010 - Băng tải DTS-50/10/15,2010-12-30,2010-12-30,Phòng CV,"0,00","0,00",,2113,"015 - DA đầu tư Nâng công suất lên 600.000 tấn/năm T.khê II,III - Công ty Than Hồng thái","2113-Phương tiện vận tải, truyền dẫn","904.820.295,00","904.820.295,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B500.1.0011,B.2.B500.1.0011 - Băng tải DTS-50/10/15,2010-12-30,2010-12-30,Phòng CV,"0,00","0,00",,2113,016 - Dự án Đầu tư duy trì sản xuất năm 2010 Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","904.820.295,00","904.820.295,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B500.1.0018,B.2.B500.1.0018 - Băng tải B500 L=120m Mã hiệu DTS50/10/17S ,2012-06-25,2012-06-25,Phòng CV,"0,00","0,00",,2113,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2113-Phương tiện vận tải, truyền dẫn","2.871.747.930,00","2.871.747.930,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B500.1.0019,B.2.B500.1.0019 - Băng tải B500 L=120m Mã hiệu DTS50/10/17S ,2012-06-25,2012-06-25,Phòng CV,"0,00","0,00",,2113,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2113-Phương tiện vận tải, truyền dẫn","2.871.747.930,00","2.871.747.930,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B500.1.0020,B.2.B500.1.0020 - Băng tải B500 L=120m Mã hiệu DTS50/10/17S ,2012-06-25,2012-06-25,Phòng CV,"0,00","0,00",,2113,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2113-Phương tiện vận tải, truyền dẫn","2.871.747.931,00","2.871.747.931,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B500.1.0021,B.2.B500.1.0021 - Băng tải B500 L=120m Mã hiệu DTS50/10/17S ,2012-06-25,2012-06-25,Phòng CV,"0,00","0,00",,2113,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2113-Phương tiện vận tải, truyền dẫn","2.871.747.931,00","2.871.747.931,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B500.1.0022,B.2.B500.1.0022 - Băng tải B500 L=120m Mã hiệu DTS50/10/17S ,2012-06-25,2012-06-25,Phòng CV,"0,00","0,00",,2113,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2113-Phương tiện vận tải, truyền dẫn","2.871.747.931,00","2.871.747.931,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B500.1.0023,B.2.B500.1.0023 - Băng tải B500 L=120m Mã hiệu DTS50/10/17S ,2012-06-25,2012-06-25,Phòng CV,"0,00","0,00",,2113,018 - Dự án Đầu tư duy trì sản xuất năm 2012 Công ty THT,"2113-Phương tiện vận tải, truyền dẫn","2.871.747.931,00","2.871.747.931,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B500.2.0002,B.2.B500.2.0002 - Băng tải hầm lò khung cáp B500L=120m ký hiệu BTBL KC 500A2 ,2007-12-27,2007-12-27,Phòng CV,"0,00","0,00",,2113,097 - Dự án Đầu tư duy trì sản xuất năm 2007 Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","504.494.565,00","504.494.565,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B500.2.0003,B.2.B500.2.0003 - Băng tải hầm lò khung cáp B500L=120m ký hiệu BTBL KC 500A2 ,2007-12-27,2007-12-27,Phòng CV,"0,00","0,00",,2113,097 - Dự án Đầu tư duy trì sản xuất năm 2007 Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","504.494.565,00","504.494.565,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B500.2.0004,B.2.B500.2.0004 - Băng tải hầm lò khung cáp BTHL-KC500A2-L120,2008-09-23,2008-09-23,Phòng CV,"0,00","0,00",,2113,139 - Dự án Đầu tư duy trì sản xuất năm 2008 Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","631.560.428,00","631.560.428,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B500.2.0005,B.2.B500.2.0005 - Băng tải hầm lò khung cáp BTHL-KC500A2-L120,2008-09-23,2008-09-23,Phòng CV,"0,00","0,00",,2113,139 - Dự án Đầu tư duy trì sản xuất năm 2008 Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","631.560.427,00","631.560.427,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B650.1.0001,B.2.B650.1.0001 - Băng tải B650 NS 250T/h L=300m(DTII65/25/2x30),2011-11-12,2011-11-12,Phòng CV,"0,00","0,00",,2113,017 - Dự án Đầu tư duy trì sản xuất năm 2011 Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","4.511.954.539,00","4.511.954.539,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B650.1.0002,B.2.B650.1.0002 - Băng tải B650 NS 250T/h L=300m(DTII65/25/2x30),2011-11-12,2011-11-12,Phòng CV,"0,00","0,00",,2113,017 - Dự án Đầu tư duy trì sản xuất năm 2011 Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","4.511.954.539,00","4.511.954.539,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B650.1.0003,B.2.B650.1.0003 - Băng tải B650 NS 250T/h L=300m(DTII65/25/2x30),2011-11-12,2011-11-12,Phòng CV,"0,00","0,00",,2113,017 - Dự án Đầu tư duy trì sản xuất năm 2011 Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","4.511.954.539,00","4.511.954.539,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B650.1.0004,B.2.B650.1.0004 - Băng tải B650 NS 250T/h L=300m(DTII65/25/2x30),2011-11-12,2011-11-12,Phòng CV,"0,00","0,00",,2113,017 - Dự án Đầu tư duy trì sản xuất năm 2011 Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","4.511.954.538,00","4.511.954.538,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B650.1.0005,B.2.B650.1.0005 - Băng tải B650 NS 250T/h L=300m(DTII65/25/2x30),2011-11-12,2011-11-12,Phòng CV,"0,00","0,00",,2113,017 - Dự án Đầu tư duy trì sản xuất năm 2011 Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","4.511.954.538,00","4.511.954.538,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B650.1.0006,B.2.B650.1.0006 - Băng tải cố định trọn bộ DTII650/2x30,2013-12-24,2013-12-24,Phòng CV,"0,00","0,00",,2113,019 - Dự án Đầu tư duy trì sản xuất năm 2013 Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","5.700.083.753,00","5.700.083.753,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B650.1.0007,B.2.B650.1.0007 - Băng tải cố định trọn bộ DTII650/2x30,2013-12-24,2013-12-24,Phòng CV,"0,00","0,00",,2113,019 - Dự án Đầu tư duy trì sản xuất năm 2013 Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","5.700.083.754,00","5.700.083.754,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B650.1.0008,"B.2.B650.1.0008 - Băng tải B650 phòng nổ (năng suất 250 tấn/giờ, chiều dài 250m), bao gồm thiết bị điện bảo vệ và điều khiển",2016-11-02,2016-11-02,Phòng CV,"0,00","0,00",,2113,069 - Đầu tư mua sắm thiết bị phục vụ sản xuất năm 2016 - Công ty Than Hồng Thái - TKV,"2113-Phương tiện vận tải, truyền dẫn","1.909.757.806,00","1.909.757.806,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B650.1.0009,"B.2.B650.1.0009 - Băng tải B650 phòng nổ (năng suất 250 tấn/giờ, chiều dài 250m), bao gồm thiết bị điện bảo vệ và điều khiển",2016-11-02,2016-11-02,Phòng CV,"0,00","0,00",,2113,069 - Đầu tư mua sắm thiết bị phục vụ sản xuất năm 2016 - Công ty Than Hồng Thái - TKV,"2113-Phương tiện vận tải, truyền dẫn","1.909.757.806,00","1.909.757.806,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B650.1.0010,"B.2.B650.1.0010 - Băng tải B650 phòng nổ (năng suất 250 tấn/giờ, chiều dài 250m), bao gồm thiết bị điện bảo vệ và điều khiển",2016-11-02,2016-11-02,Phòng CV,"0,00","0,00",,2113,069 - Đầu tư mua sắm thiết bị phục vụ sản xuất năm 2016 - Công ty Than Hồng Thái - TKV,"2113-Phương tiện vận tải, truyền dẫn","1.909.757.805,00","1.909.757.805,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B650.1.0011,"B.2.B650.1.0011 - Băng tải B650 phòng nổ (năng suất 250 tấn/giờ, chiều dài 250m), bao gồm thiết bị điện bảo vệ và điều khiển",2016-11-02,2016-11-02,Phòng CV,"0,00","0,00",,2113,069 - Đầu tư mua sắm thiết bị phục vụ sản xuất năm 2016 - Công ty Than Hồng Thái - TKV,"2113-Phương tiện vận tải, truyền dẫn","1.909.757.806,00","1.909.757.806,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B650.1.0012,"B.2.B650.1.0012 - Băng tải B650 phòng nổ (năng suất 250 tấn/giờ, chiều dài 250m), bao gồm thiết bị điện bảo vệ và điều khiển",2016-11-02,2016-11-02,Phòng CV,"0,00","0,00",,2113,069 - Đầu tư mua sắm thiết bị phục vụ sản xuất năm 2016 - Công ty Than Hồng Thái - TKV,"2113-Phương tiện vận tải, truyền dẫn","1.909.757.806,00","1.909.757.806,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B650.1.0013,"B.2.B650.1.0013 - Băng tải B650 phòng nổ (năng suất 250 tấn/giờ, chiều dài 250m), bao gồm thiết bị điện bảo vệ và điều khiển",2016-11-02,2016-11-02,Phòng CV,"0,00","0,00",,2113,069 - Đầu tư mua sắm thiết bị phục vụ sản xuất năm 2016 - Công ty Than Hồng Thái - TKV,"2113-Phương tiện vận tải, truyền dẫn","1.909.757.806,00","1.909.757.806,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B650.2.0001,B.2.B650.2.0001 - Băng tải dạng khung dùng trong hầm lò BTK 650/140/22,2014-12-09,2014-12-09,Phòng CV,"0,00","0,00",,2113,021 - Dự án Đầu tư duy trì sản xuất năm 2014 - Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","1.311.375.565,00","1.311.375.565,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B650.2.0002,B.2.B650.2.0002 - Băng tải dạng khung dùng trong hầm lò BTK 650/140/22,2014-12-09,2014-12-09,Phòng CV,"0,00","0,00",,2113,021 - Dự án Đầu tư duy trì sản xuất năm 2014 - Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","1.311.375.566,00","1.311.375.566,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B650.2.0003,B.2.B650.2.0003 - Băng tải dạng khung dùng trong hầm lò BTK 650/140/22,2014-12-09,2014-12-09,Phòng CV,"0,00","0,00",,2113,021 - Dự án Đầu tư duy trì sản xuất năm 2014 - Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","1.311.375.566,00","1.311.375.566,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B650.2.0004,B.2.B650.2.0004 - Băng tải dạng khung dùng trong hầm lò BTK 650/140/22,2014-12-09,2014-12-09,Phòng CV,"0,00","0,00",,2113,021 - Dự án Đầu tư duy trì sản xuất năm 2014 - Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","1.311.375.566,00","1.311.375.566,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B650.2.0005,B.2.B650.2.0005 - Băng tải dạng khung dùng trong hầm lò BTK 650/140/22,2014-12-09,2014-12-09,Phòng CV,"0,00","0,00",,2113,021 - Dự án Đầu tư duy trì sản xuất năm 2014 - Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","1.311.375.566,00","1.311.375.566,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B650.2.0006,B.2.B650.2.0006 - Băng tải dạng khung dùng trong hầm lò BTK 650/140/22,2014-12-09,2014-12-09,Phòng CV,"0,00","0,00",,2113,021 - Dự án Đầu tư duy trì sản xuất năm 2014 - Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","1.311.375.566,00","1.311.375.566,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B650.2.0007,B.2.B650.2.0007 - Băng tải dạng khung dùng trong hầm lò BTK 650/140/22,2014-12-09,2014-12-09,Phòng CV,"0,00","0,00",,2113,021 - Dự án Đầu tư duy trì sản xuất năm 2014 - Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","1.311.375.567,00","1.311.375.567,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B650.2.0008,B.2.B650.2.0008 - Băng tải dạng khung dùng trong hầm lò BTK 650/140/22,2014-12-09,2014-12-09,Phòng CV,"0,00","0,00",,2113,021 - Dự án Đầu tư duy trì sản xuất năm 2014 - Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","1.311.375.567,00","1.311.375.567,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B650.3.0001,B.2.B650.3.0001 - Băng tải treo SPJ 650/22P ,2004-06-30,2004-06-30,Phòng CV,"0,00","0,00",,2113,"015 - DA đầu tư Nâng công suất lên 600.000 tấn/năm T.khê II,III - Công ty Than Hồng thái","2113-Phương tiện vận tải, truyền dẫn","993.016.665,00","993.016.665,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B650.3.0002,B.2.B650.3.0002 - Băng tải treo SPJ-650 (100m),2004-09-30,2004-09-30,Phòng CV,"0,00","0,00",,2113,"015 - DA đầu tư Nâng công suất lên 600.000 tấn/năm T.khê II,III - Công ty Than Hồng thái","2113-Phương tiện vận tải, truyền dẫn","442.252.222,00","442.252.222,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B650.3.0003,B.2.B650.3.0003 - Băng tải treo SPJ-650 (200m),2004-09-30,2004-09-30,Phòng CV,"0,00","0,00",,2113,"015 - DA đầu tư Nâng công suất lên 600.000 tấn/năm T.khê II,III - Công ty Than Hồng thái","2113-Phương tiện vận tải, truyền dẫn","564.960.372,00","564.960.372,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B650.3.0006,B.2.B650.3.0006 - Băng tải treo SPJ-650/22 L = 300m ,2006-08-17,2006-08-17,Phòng CV,"0,00","0,00",,2113,151 - Dự án Đầu tư duy trì sản xuất năm 2006 Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","576.986.935,00","576.986.935,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B650.3.0007,B.2.B650.3.0007 - Băng tải SPJ-650/22 L=400m,2020-01-01,,Phòng CV,"0,00","0,00",,2113,024 - TSCĐ nhận bàn giao khu Đông Tràng Bạch,"2113-Phương tiện vận tải, truyền dẫn","1.368.028.435,00","1.368.028.435,00","0,00","0,00","0,00","0,00","0,00","0,00"
B.2.B650.4.0006,B.2.B650.4.0006 - Băng tải treo B650; L=250m; Q=250tấn/h; mã hiệu BTT 65-250/2x30,2013-10-31,2013-10-31,Phòng CV,"0,00","0,00",,2113,024 - TSCĐ nhận bàn giao khu Đông Tràng Bạch,"2113-Phương tiện vận tải, truyền dẫn","1.943.289.040,00","1.943.289.040,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B650.5.0006,"B.2.B650.5.0006 - Băng tải treo chở than DTS 65/20/2x30 trọn bộ; kèm khởi động từ phòng nổ điều khiển cho động cơ hệ thống bảo bệ chống trôi ngược băng, hệ thống bảo vệ cảm biến chống lệch băng, kh?i ( trọn bộ ) chiều dài mỗi băng tải L=250 m",2010-11-01,2010-11-01,Phòng CV,"0,00","0,00",,2113,024 - TSCĐ nhận bàn giao khu Đông Tràng Bạch,"2113-Phương tiện vận tải, truyền dẫn","1.598.573.268,00","1.598.573.268,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B650.K.0001,B.2.B650.K.0001 - Băng tải B650,2013-10-22,2013-10-22,Phòng CV,"0,00","0,00",,2113,019 - Dự án Đầu tư duy trì sản xuất năm 2013 Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","1.008.562.892,00","1.008.562.892,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B650.K.0002,B.2.B650.K.0002 - Băng tải B650,2013-10-22,2013-10-22,Phòng CV,"0,00","0,00",,2113,019 - Dự án Đầu tư duy trì sản xuất năm 2013 Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","1.008.562.892,00","1.008.562.892,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B650.K.0003,B.2.B650.K.0003 - Băng tải B650,2013-10-22,2013-10-22,Phòng CV,"0,00","0,00",,2113,019 - Dự án Đầu tư duy trì sản xuất năm 2013 Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","1.008.562.893,00","1.008.562.893,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B650.K.0004,B.2.B650.K.0004 - Băng tải B650,2013-10-22,2013-10-22,Phòng CV,"0,00","0,00",,2113,019 - Dự án Đầu tư duy trì sản xuất năm 2013 Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","1.008.562.893,00","1.008.562.893,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B650.K.0005,B.2.B650.K.0005 - Băng tải B650,2013-10-22,2013-10-22,Phòng CV,"0,00","0,00",,2113,019 - Dự án Đầu tư duy trì sản xuất năm 2013 Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","1.008.562.893,00","1.008.562.893,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B800.1.0002,"B.2.B800.1.0002 - Băng tải B800, L=55m (01 bộ) ",2009-12-28,2009-12-28,Phòng CV,"0,00","0,00",,2113,"015 - DA đầu tư Nâng công suất lên 600.000 tấn/năm T.khê II,III - Công ty Than Hồng thái","2113-Phương tiện vận tải, truyền dẫn","356.061.223,00","356.061.223,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B800.1.0003,B.2.B800.1.0003 - Băng tải B800x250/2x45,2009-03-24,2009-03-24,Phòng CV,"0,00","0,00",,2113,024 - TSCĐ nhận bàn giao khu Đông Tràng Bạch,"2113-Phương tiện vận tải, truyền dẫn","2.597.200.571,00","2.597.200.571,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B800.1.0004,B.2.B800.1.0004 - Băng tải B800x250/2x45,2009-03-24,2009-03-24,Phòng CV,"0,00","0,00",,2113,024 - TSCĐ nhận bàn giao khu Đông Tràng Bạch,"2113-Phương tiện vận tải, truyền dẫn","2.597.200.571,00","2.597.200.571,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B800.1.0005,B.2.B800.1.0005 - Băng tải B800 NS 250T/h L=550m (DTII80/25/2x45),2011-11-12,2011-11-12,Phòng CV,"0,00","0,00",,2113,017 - Dự án Đầu tư duy trì sản xuất năm 2011 Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","6.802.977.454,00","6.802.977.454,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B800.1.0006,B.2.B800.1.0006 - Băng tải B800 NS 250T/h L=550m (DTII80/25/2x45),2011-11-12,2011-11-12,Phòng CV,"0,00","0,00",,2113,017 - Dự án Đầu tư duy trì sản xuất năm 2011 Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","6.802.977.452,00","6.802.977.452,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B800.1.0007,B.2.B800.1.0007 - Băng tải B800 NS 250T/h L=550m (DTII80/25/2x45),2011-11-12,2011-11-12,Phòng CV,"0,00","0,00",,2113,017 - Dự án Đầu tư duy trì sản xuất năm 2011 Công ty Than Hồng Thái,"2113-Phương tiện vận tải, truyền dẫn","6.802.977.452,00","6.802.977.452,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B800.2.0002,B.2.B800.2.0002 - Băng tải STJ-800/40S ,2005-09-30,2005-09-30,Phòng CV,"0,00","0,00",,2113,096 - Dự án  đầu tư Mở rộng nâng công suất Mỏ than Hồng Thái - Công ty Than Uông Bí,"2113-Phương tiện vận tải, truyền dẫn","443.806.106,00","443.806.106,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B800.2.0003,B.2.B800.2.0003 - Băng tải STJ-800/40S ,2005-09-30,2005-09-30,Phòng CV,"0,00","0,00",,2113,"015 - DA đầu tư Nâng công suất lên 600.000 tấn/năm T.khê II,III - Công ty Than Hồng thái","2113-Phương tiện vận tải, truyền dẫn","544.290.508,00","544.290.508,00","96,00","0,00","0,00","0,00","0,00","0,00"
B.2.B800.2.0004,B.2.B800.2.0004 - Hệ thống vận tải băng tải mức +30 Tràng Khê (STJ-800),2008-04-14,2008-04-14,Phòng CV,"0,00","0,00",,2113,"015 - DA đầu tư Nâng công suất lên 600.000 tấn/năm T.khê II,III - Công ty Than Hồng thái","2113-Phương tiện vận tải, truyền dẫn","16.031.404.040,00","16.031.404.040,00","96,00","0,00","0,00","0,00","0,00","0,00"
